iter	Logloss	CrossEntropy	Accuracy
294	0.0457216649	0.0457216649	0.9799586777
295	0.0457040092	0.0457040092	0.9799586777
296	0.04566201329	0.04566201329	0.9799586777
297	0.04561927795	0.04561927795	0.9799745709
298	0.04558657294	0.04558657294	0.9799586777
299	0.04554911931	0.04554911931	0.9799745709
300	0.04551936018	0.04551936018	0.9800063573
301	0.04550473805	0.04550473805	0.9800063573
302	0.04545318565	0.04545318565	0.9800063573
303	0.04544232258	0.04544232258	0.9800063573
304	0.04542206162	0.04542206162	0.9800222505
305	0.04540382612	0.04540382612	0.9800063573
306	0.04539199828	0.04539199828	0.9800063573
307	0.04536474136	0.04536474136	0.9800063573
308	0.0453317541	0.0453317541	0.9799904641
309	0.04529345682	0.04529345682	0.9799904641
310	0.0452720184	0.0452720184	0.9800063573
311	0.04526362017	0.04526362017	0.9799904641
312	0.04523841798	0.04523841798	0.9800063573
313	0.04519777828	0.04519777828	0.9800381437
314	0.04518233164	0.04518233164	0.9800063573
315	0.04516722262	0.04516722262	0.9799904641
316	0.04513811837	0.04513811837	0.9800699301
317	0.0451073794	0.0451073794	0.9801017165
318	0.04507026098	0.04507026098	0.9801176097
319	0.04504361478	0.04504361478	0.9801176097
